127.0.0.1 - - [26/Jun/2025:21:06:06 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:42 +0530] "GET /Transport/home.jsp HTTP/1.1" 200 5919
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:42 +0530] "GET /Transport/images/pngtree-sitting-on-bus-public-transport-details-blue-passenger-seat-image_15830791.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:43 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:46 +0530] "GET /Transport/about.jsp HTTP/1.1" 200 10093
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:46 +0530] "GET /Transport/transport-styles.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:48 +0530] "GET /Transport/Ridebooking.jsp HTTP/1.1" 200 7288
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:49 +0530] "GET /Transport/images/pngtree-sitting-on-bus-public-transport-details-blue-passenger-seat-image_15830791.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:50 +0530] "GET /Transport/contact.jsp HTTP/1.1" 200 9379
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:50 +0530] "GET /Transport/transport-styles.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:51 +0530] "GET /Transport/addComplaint.jsp HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:51 +0530] "GET /Transport/js/validation.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:51 +0530] "GET /Transport/css/styles.css HTTP/1.1" 200 768
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:54 +0530] "GET /Transport/choice.jsp HTTP/1.1" 200 10484
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:54 +0530] "GET /Transport/Acoount.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:54 +0530] "GET /Transport/api.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:54 +0530] "GET /Transport/auth.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:56 +0530] "GET /Transport/DataForm.jsp HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:58 +0530] "GET /Transport/choice.jsp HTTP/1.1" 200 10484
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:58 +0530] "GET /Transport/Acoount.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:58 +0530] "GET /Transport/api.js HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:06:58 +0530] "GET /Transport/auth.js HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:07:01 +0530] "GET /Transport/login.jsp HTTP/1.1" 200 9606
0:0:0:0:0:0:0:1 - - [26/Jun/2025:21:07:01 +0530] "GET /Transport/transport-styles.css HTTP/1.1" 404 786
